01.0	乳 乳制品
01.01	巴氏杀菌乳 灭菌乳 调制乳
01.01.01	巴氏杀菌乳
01.01.02	灭菌乳	
01.01.03	调制乳
01.02	发酵乳 风味发酵乳
01.02.01	发酵乳 酸乳
01.02.02	风味发酵乳 风味酸乳
01.03	乳粉 奶油粉
01.03.01	乳粉 奶油粉
01.03.02	调制乳粉 调制奶油粉	
01.04	炼乳
01.04.01	淡炼乳
01.04.02	调制炼乳
01.05	稀奶油 淡奶油
01.05.01	稀奶油
01.05.03	调制稀奶油
01.05.04	稀奶油类似品
01.06	干酪 再制干酪
01.06.01	非熟化干酪	非熟化干酪 未成熟干酪
01.06.02	熟化干酪	
01.06.03	乳清干酪
01.06.04	再制干酪
01.06.04.01	普通再制干酪
01.06.04.02	调味再制干酪
01.06.05	干酪类似品
01.06.06	乳清蛋白干酪
01.08	乳清粉 牛奶蛋白粉 酷蛋自粉 奶片
02.0	脂肪 油 油脂 乳化脂肪制品
02.01	植物油脂 动物油脂 无水黄油 无水乳脂。	
02.01.01	植物油脂
02.01.01.01	植物油
02.01.01.02	氢化植物油
02.01.02	动物油脂 猪油 牛油 鱼油
02.01.03	无水黄油 无水乳脂
02.02	水油状脂肪乳化制品
02.02.01.01	黄油 浓缩黄油
02.02.01.02	人造黄油 人造奶油 
02.03	脂肪乳化制品 无水人造奶油 人造酥油 无水酥油 无水黄油 无水人造奶油混合品 起酥油 液态酥油 可可脂 植脂奶油
02.04	乳基 脂基
02.05	植脂末 可可脂
03.0	冷冻饮品 冰淇淋 雪糕 风味冰 冰棍 食用冰 冰
03.01	冰淇淋 雪糕
03.03	风味冰 冰棍
03.04	食用冰
04.0	水果 蔬菜 块根 豆 食用菌 藻 坚果 籽
04.01	水果
04.01.01	新鲜水果
04.01.01.01	未经加工的鲜果
04.01.01.02	经表面处理的鲜水果
04.01.01.03	去皮或预切的鲜水果
04.01.02	加工水果
04.01.02.01	冷冻水果
04.01.02.02	水果干
04.01.02.03	醋、油或盐渍水果	包括的产品如醋、油或盐溃的李子、芒果、酸橙等。	
04.01.02.13	其他加工水果	以上各类(04.01.02.01~04.01.02.12)未包括的加工水果。	
04.02	蔬菜	包括新鲜蔬菜和加工蔬菜制品。	
04.02.01	新鲜蔬菜	包括未经加工的、经表面处理的，以及去皮、切块或切丝的新鲜蔬菜。豆芽菜也包括在新鲜蔬菜内。	
04.02.01.01	未经加工鲜蔬菜	收获后未经加工的新鲜蔬菜。	
04.02.01.02	经表面处理的新鲜蔬菜	表面有光滑的或蜡样物质，或使用其他食品添加剂处理起表面保护作用的新鲜蔬菜。	
04.02.01.03	去皮、切块或切丝的蔬菜	去皮或切块、切丝后的新鲜蔬菜。	
04.02.01.04	豆芽菜	以大豆、绿豆等为原料，经浸泡发芽后的制品。	
04.02.02	加工蔬菜	包括除去皮、预切和表面处理以外的所有其他加工方式的蔬菜。	
04.02.02.01	冷冻蔬菜	新鲜蔬菜经焯洗等预处理并冷冻。例如:速冻玉米，速冻豌豆，速冻的整个加工的番茄。	
04.02.02.02	干制蔬菜	以新鲜蔬菜为原料。经晾晒、干燥等脱水工艺加工制成的蔬菜干制品。包括干制蔬菜粉。	
04.02.02.03	腌渍的蔬菜	以新鲜蔬菜为主要原料、经醋、盐、油或酱油等腌渍加工而成的制品。	
04.02.02.04	蔬菜罐头	以新鲜蔬菜为原料，经预处理、装罐(包括马口铁罐、玻璃罐、复合薄膜袋或其他包装材料容器)密封、杀菌等工艺制成的产品。	
04.02.02.05	蔬菜泥（酱），番茄沙司除外	以新鲜蔬菜为原料，经热处理（如:蒸气处理）、浓缩等工艺制成的泥状或酱状蔬菜制品。	
04.02.02.06	发酵蔬菜制品	以新鲜蔬菜为原料，加入盐和(或)其他调味料，经微生物发酵制成的制品。	
04.02.02.07	经水煮或油炸的蔬菜	以新鲜蔬菜为原料，经水煮或油炸等工艺制成的制品。	
04.02.02.08	其他加工蔬菜	以上各类(04.02.02.01~04.02.02.07)未包括的加工蔬菜。	
04.03	食用菌和藻类	包括新鲜食用菌和藻类以及加下制品。	
04.03.01	新鲜食用菌和藻类	包括未经加工、经表面处理的，以及去皮、切块或切丝的新鲜食用菌和藻类。	
04.03.01.01	未经加工鲜食用菌和藻类	收获后未经加工的新鲜食用菌和藻类。	
04.03.01.02	经表面处理的鲜食用菌和藻类	表面有光滑的或蜡样物质，或使用其他食品添加剂处理起表面保护作用的新鲜食用菌和藻类。	
04.03.01.03	去皮、切块或切丝的食用菌和藻类	去皮、切块或切丝后的新鲜食用菌和藻类。	
04.03.02	加工食用菌和藻类	包括除去皮、预切和表面处理以外的所有其他加工方式的食用菌和藻类。	
04.03.02.01	冷冻食用菌和藻类	新鲜食用菌和藻类经焯洗等预处理并冷冻。	
04.03.02.02	干制食用菌和藻类	以新鲜食用菌和藻类为原料，经晾晒、干燥等脱水工艺加工制成的食用菌和藻类干制品。	
04.03.02.03	腌渍的食用菌和藻类	以新鲜食用菌和藻类为主要原料。经醋、盐、油或酱油等腌渍工艺加工而成的食用菌和藻类制品。	
04.03.02.04	食用菌和藻类罐头	以新鲜食用菌和藻类为原料，经预处理、装罐、密封、杀菌等工序加工而成的罐头食品。	
04.03.02.05	经水煮或油炸的藻类	以新鲜藻类为原料，经水煮或油炸等丁艺制成的制品。	
04.03.02.06	其他加工食用菌和藻类	以上类别(04.03.02.01~04.03.02.05)未包括的加工食用菌和藻类。	
04.04	豆类制品	包括非发酵豆制品和发酵豆制品。	
04.04.01	非发酵豆制品	以大豆等为主要原料，不经发酵过程加工制成的豆制品。如豆腐及其再制品、腐竹等。	
04.04.01.01	豆腐类	以大豆等豆类或豆类饼粕为原料，经选料、浸泡、磨糊、过滤、煮浆、点脑、蹲缸、压榨成型等工序制成的具有较高含水量的制品。包括北豆腐(老豆腐)、南豆腐(嫩豆腐)、内酯豆腐、冻豆腐、豆腐花、调味豆腐、脱水豆腐等。	
04.04.01.02	豆干类	在豆腐加工过程中，经压制，部分脱水而后，切成一定形状，制成的水分含量较少的豆制品。	
04.04.01.03	豆干再制品	以豆腐或豆干为基料，经油炸、熏制、卤制等工艺制得的豆制品。	
04.04.01.03.01	炸制半干豆腐	以豆腐或豆干为基料，经油炸制成的豆制品。	
04.04.01.03.02	卤制半干豆腐	以豆腐或豆干为基料，经卤制而成的豆制品。	
04.04.01.03.03	熏制半干豆腐	以豆腐或豆干为基料，经薰制而成的豆制品。	
04.04.01.03.04	其他半干豆腐	以上各类(04.04.01.03.01~04.04.01.03.03)未包括的豆干再制品。	
04.04.01.04	腐竹类（包括腐竹、油皮等）	豆浆煮沸后，在降温过程中，从豆浆表面挑起的一层薄膜状制品。干燥后，形成的竹枝状物称为腐竹，片状物则称为油皮。	
04.04.01.05	新型豆制品（大豆蛋白膨化食品、大豆素肉等）	经非传统工艺制成的豆制品，如大豆蛋白膨化食品、大豆素肉等。	
04.04.01.06	熟制豆类	以大豆等为原料，加工制成的豆类熟制品。	
04.04.02	发酵豆制品	以大豆等为主要原料，经过微生物发酵而成的豆制食品。如腐乳、豆豉、纳豆、霉豆腐等。	
04.04.02.01	腐乳类	以大豆为原料，经加工磨浆、制坯、培菌、经微生物发酵而成的一种调味、佐餐食品。	
04.04.02.02	豆豉及其制品（包括纳豆）	以大豆等为主要原料，经蒸煮、制曲、发酵、酿制而成的呈干态或半干态颗粒状的制品。	
04.04.03	其他豆制品	以上各类(04.04.01~04.04.01.02)未包括的豆制品。	
04.05	坚果和籽类	包括新鲜坚果与籽类和加工坚果与籽类，如核桃、山核桃、松子、棒子、白果、杏仁、巴旦木(扁桃核)、腰果、开心果、花生和各类瓜子等。	
04.05.01	新鲜坚果与籽类	收获后未经加工的具有坚硬硬壳的坚果以及新鲜籽类。	
04.05.02	加工坚果与籽类	经加工制成的具有坚硬硬壳或经脱壳的坚果以及籽类。	
04.05.02.01	熟制坚果与籽类	采用烘干、焙烤工艺、翻炒或油炸制成的坚果和籽类，包括油炸、烘炒豆类。	
04.05.02.01.01	带壳熟制坚果与籽类	具有坚硬外壳的经烘焙/炒制的坚果与籽类。	
04.05.02.01.02	脱壳熟制坚果与籽类	脱去坚硬外壳后，再烘焙/炒制的坚果与籽类。	
04.05.02.02	-	
04.05.02.03	坚果与籽类罐头	以坚果和籽类为原料，经烘焙/炒制加工处理、杀菌、装罐等工序制成的罐头产品。	
04.05.02.04	坚果与籽类的泥（酱），包括花生酱等	以坚果、籽类为主娄原料，经筛选、焙炒、去壳脱皮、分选、研磨等工序，加入或不加入辅料而制成的泥（酱）状制品。	
04.05.02.05	其他加工的坚果与籽类（如腌渍的果仁）	其他加工坚果和籽类，如腌渍的果仁。	
05.0	可可制品、巧克力和巧克力制品（包括代可可脂巧克力及制品）以及糖果	包括可可制品、巧克力和巧克力制品、代可可脂巧克力及其制品，各类糖果，糖果、巧克力制品包衣，装饰糖果、顶饰和甜汁。	
05.01	可可制品、巧克力和巧克力制品,包括代可可脂巧克力及制品	包括可可制品，巧克力及其制品，代可可脂巧克力及其制品。	
05.01.01	可可制品（包括以可可为主要原料的脂、粉、浆、酱、馅等）	以可可豆为原料，经研磨、压榨等工艺生产出来的可用于进一步生产制造巧克力及其制品的脂、粉、浆、酱、馅。如可可脂、可可液块或可可粉等。	
05.01.02	巧克力和巧克力制品、除05.01.01以外的可可制品	以可可制品(可可脂、可可液块或可可粉)为主要原料，添加或不添加非可可的植物脂肪(非可可植物脂肪添加量≤5%)，经特定工艺制成的食品。以巧克力和其他食品按一定比例加工制成的食品为巧克力制品。	
05.01.03	代可可脂巧克力及使用可可脂代用品的巧克力类似产品	代可可脂巧克力是以白砂糖等甜味料、代可可脂为主要原料，添加或不添加可可制品(可可脂、可可液块或可可粉)、乳制品及食品添加剂，经特定工艺制成的在常温下保持固体或半固体状态，并具有巧克力风味及性状的食品。该类别还包括了上述说明以外的使用可可脂代用品的类似巧克力的产品。	
05.02	糖果	包括硬质糖果、酥质糖果、焦香糖果、奶糖糖果、压片糖果、凝胶糖果、充气糖果、胶基糖果和其他糖果。	
05.02.01	胶基糖果	以胶基、白砂糖和(或)甜味剂为主要原料制成的咀嚼型或吹泡型的糖果。	
05.02.02	除胶基糖果以外的其他糖果	以白砂糖和(或)糖浆和(或)甜味剂等为主要原料，经相关工艺制成的固态、半固态或液态糖果。	
05.03	糖果和巧克力制品包衣	包裹在糖果，巧克力制品表面，有一定的硬度和强度的致密糖壳。	
05.04	装饰糖果（如工艺造型，或用于蛋糕装饰）、顶饰（非水果材料）和甜汁	包括用于饼干、面包、糕点及其组合产品中，起装饰作用的可食的糖衣、糖霜等。也包括糖果、焙烤食品等食品中所用的以糖或巧克力为主要成分的涂层，如杏仁奶油糖的巧克力涂层等。	
06.0	粮食和粮食制品，包括大米、面粉、杂粮、块根植物、豆类和玉米提取的淀粉等（不包括07.0类焙烤制品）	包括原粮、大米及其制品（大米、米粉、米糕），小麦粉及其制品，杂粮粉（包括豆粉）及其制品，淀粉及淀粉类制品，即食谷物，包括碾轧燕麦（片），方便米面制品，冷冻米面制品，谷类和淀粉类甜品（如米布丁、木薯布丁），粮食制品馅料。	
06.01	原粮	收获后未经任何加工的粮食(包括各种杂粮原粮)。	
06.02	大米及其制品	大米及以大米为原料制成的各种制品。包括大米、大米制品、米粉和米粉制品等。	
06.02.01	大米	稻谷经脱壳加工后的成品粮。	
06.02.02	大米制品	除米粉和米粉制品外，以大米为原料经加工制成的各类产品。	
06.02.03	米粉（包括汤圆粉等）	大米经碾磨而成的粉末状产品。	
06.02.04	米粉制品	米粉经加工制成的食品，如青团。	
06.03	小麦粉及其制品	包括小麦粉、小麦粉制品。	
06.03.01	小麦粉	小麦经碾磨制成的粉状产品。	
06.03.01.01	通用小麦粉	以小麦为原料，供制作各种面食用的小麦粉。	
06.03.01.02	专用小麦粉（如自发粉、饺子粉）	以小麦为原料，供制作馒头、水饺等用的小麦粉。	
06.03.02	小麦粉制品	以小麦粉为原料，加工制成的各类食品。	
06.03.02.01	生湿面制品（如面条、饺子皮、馄饨皮、烧麦皮）	小麦粉经和水、揉捏后未进行加热、冷冻、脱水等处理的面制品，如:未煮的面条、佼子皮、馄饨皮和烧麦皮等。	
06.03.02.02	生干面制品	未经加热、蒸、烹调等处理的面制品经过脱水制成的产品。如:挂面。	
06.03.02.03	发酵面制品	经发酵工艺制成的面制品。如包子、馒头、花卷等。	
06.03.02.04	面糊（如用于鱼和禽肉的拖面糊）、裹粉、煎炸粉	碎屑状或粉末状的小麦粉制品。该类产品可同其他配料（如调味品、水、奶或蛋等）混合，作为水产品、禽肉、畜肉和蔬菜等的表面覆盖物，包括面包糠。	
06.03.02.05	油炸面制品	经油炸工艺制成的面制品，如油条、油饼等。	
06.04	杂粮粉及其制品	包括粉状或非粉状的杂根及其制品。	
06.04.01	杂粮粉	杂粮经过碾磨加工制成的粉状产品。	
06.04.02	杂粮制品	以杂粮或杂粮粉为原料加工制成的食品。	
06.04.02.01	杂粮罐头	以杂粮为原料，添加或不添加谷类、豆类、干果，糖和(或)甜味剂等，经加工处理、装罐、密封、杀菌制成的罐头食品，如八宝粥罐头、红豆粥罐头等。	
06.04.02.02	其他杂粮制品	除06.04.02.01类以外的杂粮制品。	
06.05	淀粉及淀粉类制品	包括食用淀粉、淀粉制品。	
06.05.01	食用淀粉	以谷类、薯类、豆类等植物为原料而生产的淀粉。	
06.05.02	淀粉制品	以淀粉为原料加工制成的产品。	
06.05.02.01	粉丝、粉条	以淀粉为原料，经糊化成型，在一定条件下老化(回生)，干燥而成的丝条状固态产品。	
06.05.02.02	虾味片	以淀粉为原料，添加膨松剂及调味物质等辅料制成的具有虾味的干制品。	
06.05.02.03	藕粉	以藕为原料加工制成的淀粉制品。	
06.05.02.04	粉圆	以淀粉为原料，经造粒工艺加工而成的圆球状非即食产品。	
06.06	即食谷物，包括碾轧燕麦（片）	包括所有即食的早餐谷物食品，如速溶的燕麦片（粥）。谷粉，玉米片，多种谷物（如大米、小麦、王米）的早餐类食品，由大豆或糠制成的即食早餐类食品及由谷粉制成的压缩类即食谷物制品。	
06.07	方便米面制品	以米、面等为主要原料，用工业化加工方式制成的即食或非即食部分预制食品。例如方便面、方便米饭等。	
06.08	冷冻米面制品	以小麦粉、大米、杂粮等粮食为主要原料，经加工成型(或熟制)并经速冻而成的食品。	
06.09	谷类和淀粉类甜品（如米布丁、木薯布丁）	以谷类、淀粉为主要原料的甜品类产品，如米布丁、小麦粉布丁、木薯布丁。	
06.10	粮食制品馅料	由粮食制成的馅料。	
07.0	焙烤食品	以粮、油、糖和(或)甜咪剂、蛋、乳等为主要原料，添加适量辅料，并经调制、发酵、成型、熟制等工序制成的产品。	
07.01	面包	以小麦粉为主要原料，以酵母为主要膨松剂，适量加入辅料，经发酵、烘烤而制成的松软多孔的焙烤制品。	
07.02	糕点	以粮、油、糖和(或)甜味剂、蛋等为主要原料，添加适量辅料，并经调制、成型、熟制等工序制成的食品。	
07.02.01	中式糕点（月饼除外）	具有中国传统风味和特色的糕点。分为热加工糕点和冷加工糕点，热加工糕点包括烘烤类糕点、油炸类糕点、水蒸类糕点、熟粉类糕点、其他类糕点。	
07.02.02	西式糕点	从国外传入我国的糕点的统称，具有西方民族风格和特色。如德式、法式、英式、俄式等。通常以面粉、奶油、糖和(或)甜味剂、蛋为原料，以可可、果料、果酱为辅料，经挤糊、成型、烘烤，再挤花或美化后而制成。	
07.02.03	月饼	使用面粉等谷物粉、油、糖[和(或)甜味剂]或不加糖及甜味剂调制成饼皮，包裹各种馅料，经加工而成，主要在中秋节食用的传统节日食品。	
07.02.04	糕点上彩装	中西式糕点表面涂布的可食用装饰。	
07.03	饼干	包括夹心及装饰类饼干、威化饼干、蛋卷和其他饼于。	
07.03.01	夹心及装饰类饼干	夹心饼干(包括注心饼干)是指在饼干单片之间(或在饼干空心部分)添加糖和(或)甜味剂、油脂或果酱夹心料等的饼干。装饰类饼干是指在饼干表面涂布巧克力酱、果酱等辅料或喷洒调味料，或裱粘糖花，而制成的表面有涂层、线条或图案的饼干。	
07.03.02	威化饼干	以小麦粉(或糯米粉)、淀粉为主要原料，加入乳化剂、膨松剂等辅料，经调粉、浇注、烘烤制成的，在多孔状片之间或造型中间添加糖和(或)甜味剂、油脂等夹心料的饼干。	
07.03.03	蛋卷	以小麦粉、糖和(或)甜味刘、油(或无油)、鸡蛋为原料，加入膨松剂、面粉处理剂及其他辅料，经调浆(发酵或不发酵)、浇注或挂浆、煎烤或烘烤卷制而成的制品。	
07.03.04	其他饼干	除07.03.01~07.03.03外的饼干。	
07.04	焙烤食品馅料及表面用挂浆	用于焙烤食品的馅料及表面挂浆。如月饼馅料等。	
07.05	其他焙烤食品	以上分类(07.01~07.04)未包括的焙烤食品。	
08.0	肉及肉制品	包括生、鲜肉，预制肉制品，熟肉制品，肉制品的可食用动物肠衣类和其他熟肉制品。	
08.01	生、鲜肉	包括生鲜肉、冷却肉和冻肉。	
08.01.01	生鲜肉	活畜、禽屠宰加工后，不经冻结处理、不经冷却工艺过程的新鲜产品。	
08.01.02	冷却肉（包括排酸肉、冰鲜肉、冷鲜肉等）	活畜、禽屠宰加工后，胴体经冷却工艺处理，肌肉深层中心温度保持在0~4℃的制品。	
08.01.03	冻肉	活畜、禽屠宰加工后，经冻结处理，其肌肉中心温度在-15℃以下的制品。	
08.02	预制肉制品	包抵调理肉制品、腌腊肉制品类。	
08.02.01	调理肉制品（生肉添加调理料）	以鲜（冻）畜、禽肉为主要原料，添加（或不添加）蔬菜和（或）辅料，经预处理（切制或绞制）、混合搅拌（或不混合）等工艺加工而成的一种半成品。	
08.02.02	腌腊肉制品类（如咸肉、腊肉、板鸭、中式火腿、腊肠）	以鲜（冻）畜、禽肉为主要原料，配以各种调味料，经过腌制、晾晒或烘焙等方法制成的一种半成品。	
08.03	熟肉制品	以鲜(冻)畜禽肉(包括内脏)为主要原料，加入盐、酱油等调味品,经熟制工艺制成的肉制品。	
08.03.01	酱卤肉制品类	包括白煮肉类、酱卤肉类、糟肉类。	
08.03.01.01	白煮肉类	以鲜(冻)畜禽肉为主要原料加水煮熟的肉制品。	
08.03.01.02	酱卤肉类	以鲜(冻)畜禽肉或其内脏为主要原料，加食盐、酱油等调昧料及香辛料.经煮制而成的一类熟肉类制品。	
08.03.01.03	糟肉类	用酒糟(或陈年香糟)代替酱汁或卤汁制作的肉制品。	
08.03.02	熏、烧、烤肉类	以熏、烧、烤为主要加工方法生产的熟肉制品。	
08.03.03	油炸肉类	以鲜(冻)蓄禽肉为主要原料添加一些辅料及调味料拌匀后经油炸工艺制成的熟肉制品。	
08.03.04	西式火腿（熏烤、烟熏、蒸煮火腿）类	以鲜（冻）畜、禽肉为主要原料，经腌制、蒸煮等工艺制成的定型包装的火腿类熟肉制品。包括熏烤、蒸煮及烟熏火腿等。	
08.03.05	肉灌肠类	以鲜(冻)畜禽肉为主要原料，经加工、腌制、切碎、加入辅料成型或灌入肠衣内后经煮熟而成的肉制品。	
08.03.06	发酵肉制品类	以鲜(冻)畜禽肉为主要原料，加入辅料，经发酵等工艺加工而成的即食肉制品。	
08.03.07	熟肉干制品	以鲜(冻)畜、禽肉为主要原料，加工制成的熟肉干制品。	
08.03.07.01	肉松类	以鲜(冻)畜、禽肉为主要原料，经煮制、切块、撇油、配料、收汤、炒松、搓松制成的肌肉纤维蓬松成絮状的肉制品。	
08.03.07.02	肉干类	以鲜(冻)畜、禽肉为主要原料，经修割、预煮、切丁(片、条)、调味、复煮、收汤、干燥制成的肉制品。	
08.03.07.03	肉脯类	以鲜(冻)畜、禽肉为主要原料，经切片、调味，腌渍、摊筛、烘干、烤制等工艺制成薄片型的肉制品。	
08.03.08	肉罐头类	以鲜(冻)畜、禽肉为主要原料，可加入其他原料、辅料，经装罐、密封，杀菌、冷却等不序制成的具有一定真空度、符合商业无菌要求的肉类罐装食品，一般可在常温条件下贮存。	
08.03.09	其他熟肉制品	以上分类（08.03.01~08.03.09）未包括的肉及肉制品。	
08.04	肉制品的可食用动物肠衣类	由猪、牛、羊等的肠以及膀胱除去黏膜后腌制或干制而成的肠衣。	
09.0	水产及其制品（包括鱼类、甲壳类、贝类、软体类、棘皮类等水产及其加工制品等）	包括鲜水产、冷冻水产品及其制品、预制水产品（半成品）、熟制水产品（可直接食用）、水产品罐头和其他水产品及其制品。	
09.01	鲜水产	除冷藏、在冰上保存以外，不进行任何其他的处理的水产品。	
09.02	冷冻水产品及其制品	包括冷冻制品、冷冻挂浆制品、冷冻鱼糜制品(包括鱼丸等)。	
09.02.01	冷冻水产品	低于冻结点条件下储藏的水产制品。	
09.02.02	冷冻挂桨制品	经预加工的水产品，在表面附上面粉或裹粉等辅料，再冷冻保藏的生制品。	
09.02.03	冷冻鱼糜制品（包括鱼丸等）	以鲜鱼肉斩碎，添加调味料和辅料后拌匀，成型后经油炸或水煮的半成品，包装冷冻保藏。	
09.03	预制水产品（半成品）	包括醋渍或肉冻状水产品、腌制水产品、鱼子制品、风干、烘干、压干等水产品和其他预制水产品（鱼肉饺皮）。	
09.03.01	醋渍或肉冻状水产品	醋渍水产品:将水产品浸泡在醋或酒中制得的产品，加或不添加盐和香辛料。肉冻状水产品:将水产品煮或蒸来嫩化，可以添加酷或酒、盐和防腐剂，固化成肉冻状产品。	
09.03.02	腌制水产品	采用腌制工艺制成的水产品。	
09.03.03	鱼子制品	用海水或淡水鱼的卵为原料添加调味料及其他辅料加工制成的鱼卵制品。	
09.03.04	风干、烘干、压干等水产品	经风吹、烘烤、挤压等工艺制成的水产干制品。	
09.03.05	其他预制水产品（如鱼肉饺皮）	以上各类（09.03.01~09.03.04）未包括的预制水产品。如鱼肉饺皮。	
09.04	熟制水产品（可直接食用）	包括熟干水产品。经烹调或油炸的水产品，熏、烤水产品、发酵水产品和鱼肉灌肠类。	
09.04.01	熟干水产品	经熟制的水产干制品。	
09.04.02	经烹调或油炸的水产品	用蒸、煮或油炸等加里工艺制成的水产品。	
09.04.03	熏、烤水产品	用熏蒸、烧烤等加工工艺制成的水产品。	
09.04.04	发酵水产品	经发酵工艺制成的水产品。	
09.04.05	鱼肉灌肠类	以冷冻鱼糜或鲜鱼肉为主要原料，经混合、成型或灌入肠衣等工艺加工而成的熟制水产品。	
09.05	水产品罐头	以鲜(冻)水产品为原料，加入其他原料、辅料，经装罐、密封、杀菌、冷却等工序制成的具有一定真空度、符合商业无菌要求的罐头食品，一般可在常温条件下贮存。	
09.06	其他水产品及其制品	以上分类(09.01~09.05)未包括的水产及其制品。	
10.0	蛋及蛋制品	包括鲜蛋、不改变物理性状的再制蛋和改变了物理性状的蛋制品以及其他蛋制品。	
10.01	鲜蛋	各种禽类生产的、未经加工的蛋。	
10.02	再制蛋（不改变物理性状）	蛋加工过程中去壳或不去壳、不改变蛋形的制成品，包括卤蛋、糟蛋、皮蛋、咸蛋等。	
10.02.01	卤蛋	以鲜蛋为原料，经前处理、卤制、杀菌等工序制成的供直接食用的熟蛋制品。	
10.02.02	糟蛋	以鲜蛋为原料，经裂壳、用食盐、酒糟及其他配料等糟腌渍而成的蛋类产品，又名醉蛋。	
10.02.03	皮蛋	皮蛋又名松花蛋，是以鲜蛋为原料，经清洗、挑选后，用生石灰、盐，以及相关食品级加工助剂配制的料液(泥)加工而成的制品。	
10.02.04	咸蛋	以鲜蛋为原料，经用盐水或含盐的纯净黄泥、红泥、草木灰等腌制而成的蛋类产品。	
10.02.05	其他再制蛋	除外以上几类(10.02.01~10.02.04)的再制蛋。	
